candidate_strategy,pool_variant,fusion_method,case_count,candidate_set_size,candidate_target_recall_at_1,candidate_target_recall_at_3,candidate_target_recall_at_5,fixture_scored_target_at_1_fraction,local_evidence_available_case_count,reviewed_precision_lower_bound,family_subgroup_status,geographic_subgroup_status,representative_fixture_work_count,targeted_fixture_work_count,completed_real_review_count,effective_review_shortfall,distinct_score_work_count,execution_query_embedding_reuse_event_count,execution_within_batch_matrix_reuse_count,execution_maximum_batch_pool_matrix_bytes,mps_peak_memory_bytes,mps_memory_status,target_pruning_regression_count,classification_accuracy_status,raw_score_is_probability,unsupported_statistical_claims_present,production_default_eligible,evidence_basis,row_fingerprint
geography_first,dynamic_global_local,validation_fitted_linear,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:ce5f438cad5d6190f508009536829a474c73260e46afd659be96f6c79d14b274
geography_first,global_only_control,maximum_scope_evidence,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:d5f2296a2816758faa1a31cdf2446615a80236a853802aae0ce8a1082b0b53a6
geography_first,global_only_control,robust_rank_aggregation,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:1f7a811a4392038994a342dc449fa325777de6796b050c68b3bd388d6f420927
geography_first,global_only_control,unweighted_component_mean,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:2566262835a43b532f32a887331d1ed5575401f561a1f3c8ee08f8dd10f9d1fd
geography_first,global_only_control,validation_fitted_linear,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:072a56d70447a6a6bfff6f3f2eb85de15a10aa6c1689ec4c034cbf23d288897a
parallel_family_geography_union,dynamic_global_local,maximum_scope_evidence,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:bb57cab5a2993b9470e4dbe00acda495fb35ce94bfc69ff87e9d0cb80b83c9d6
parallel_family_geography_union,dynamic_global_local,robust_rank_aggregation,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:e3f53f727e9ebc74eb8c24539101c7d7dd76de035e5e70087a1c14e0d1689fa7
parallel_family_geography_union,dynamic_global_local,unweighted_component_mean,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:77168a41a7eaa3bcaa1a83f5c9a15c8414a235e8bee275bac084283b09ad0657
parallel_family_geography_union,dynamic_global_local,validation_fitted_linear,7,5,1.0,1.0,1.0,1.0,6,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:6516176718f0d1e63fc81cafbfe80f0a28acc1b4d625246c51decd5076cbdc99
parallel_family_geography_union,global_only_control,maximum_scope_evidence,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:015c665c3d5dab4e82d3daf7c39b4ad46cf02bc59856597b83e9783cadbec24b
parallel_family_geography_union,global_only_control,robust_rank_aggregation,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:be5574f0caa862277bb34f471373d40200641a6041a2c86c8743d1f2efdcac1d
parallel_family_geography_union,global_only_control,unweighted_component_mean,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:8c4c0b878f95933fbb3e022555d61ad95e42a7fc37696031730e7a4deba14331
parallel_family_geography_union,global_only_control,validation_fitted_linear,7,5,1.0,1.0,1.0,1.0,0,,unavailable_no_source_bound_reviews,unavailable_no_source_bound_reviews,7,7,0,86,7,7,65,2240,,unavailable_cached_vector_fixture_not_mps,0,unavailable_fixture_only,false,false,false,fixture_structural_and_cached_vector_execution_only,sha256:e89f2e9f99ad7a7593ee29cf8e3722f08effb14201f4dcdde469f32936fa3aae
