region_id,region_name,bbox,country
AU_ALL,Australia,"112.92,-43.74,153.64,-10.05",Australia
AU_ACT,Australian Capital Territory,"148.76,-35.92,149.40,-35.12",Australia
AU_QLD,Queensland,"137.99,-29.18,153.55,-9.14",Australia
AU_NSW,New South Wales,"140.99,-37.51,153.64,-28.15",Australia
AU_NT,Northern Territory,"129.00,-26.02,138.00,-10.91",Australia
AU_SA,South Australia,"129.00,-38.06,141.00,-25.99",Australia
AU_TAS,Tasmania,"143.82,-43.74,148.50,-39.58",Australia
AU_VIC,Victoria,"140.96,-39.20,150.04,-33.98",Australia
AU_WA,Western Australia,"112.92,-35.13,129.00,-13.69",Australia
